150万,单价15354元/平米,南向三房出售 户型方正 采光好,番禺人民医院宿舍 , | 3室1厅 | 97.7平米 | 南 | 简装 | 无电梯,高楼层(共9层)1995年建塔楼  -  ,1695人关注 / 共7次带看 / 3个月以前发布,
455.2万,单价28001元/平米,雍逸华庭 南向单位，精致装修，小区园景,雍逸华庭 , | 4室2厅 | 162.57平米 | 南 | 其他 | 有电梯,中楼层(共17层)2011年建塔楼  -  ,22人关注 / 共0次带看 / 一年前发布,
270万,单价27735元/平米,星尚花园 通透三房 新装修,星尚花园 , | 3室2厅 | 97.35平米 | 南 | 简装 | 有电梯,中楼层(共26层)2017年建塔楼  -  ,66人关注 / 共3次带看 / 10个月以前发布,
198万,单价16924元/平米,汇景邮电宿舍 三房小区中高位置,汇景邮电宿舍 , | 3室2厅 | 117平米 | 南 北 | 简装 | 无电梯,中楼层(共8层)2000年建塔楼  -  ,6人关注 / 共0次带看 / 7个月以前发布,
300万,单价33708元/平米,华南碧桂园实用三房出售,华南碧桂园漾翠苑 , | 3室2厅 | 89平米 | 东北 | 精装 | 无电梯,高楼层(共7层)2001年建塔楼  -  ,23人关注 / 共0次带看 / 4个月以前发布,
888万,单价35099元/平米,星河湾 赏心园5房复式 保养好,广州星河湾赏心园 , | 5室2厅 | 253平米 | 南 北 | 精装 | 有电梯,高楼层(共9层)2001年建塔楼  -  ,95人关注 / 共2次带看 / 一年前发布,
85万,单价16139元/平米,敏捷上品公馆 复式毛胚房 诚心出售,敏捷上品公馆 , | 1室0厅 | 52.67平米 | 南 | 其他 | 有电梯,低楼层(共21层)塔楼  -  ,12人关注 / 共1次带看 / 3个月以前发布,
158万,单价19309元/平米,富丽家园 简单装修 楼梯中层 业主诚意出售,富丽家园金山大厦 , | 3室1厅 | 81.83平米 | 东南 | 简装 | 无电梯,中楼层(共8层)1995年建塔楼  -  ,9人关注 / 共1次带看 / 3个月以前发布,
204万,单价25500元/平米,广地花园温馨小两房复式住宅，采光通风好，你值得拥有,广地花园 , | 2室2厅 | 80平米 | 北 | 简装 | 无电梯,高楼层(共7层)2006年建塔楼  -  ,11人关注 / 共2次带看 / 2个月以前发布,
130万,单价36112元/平米,丽江花园德荫楼 1室0厅 130万,丽江花园德荫楼 , | 1室0厅 | 36平米 | 西北 | 简装 | 有电梯,低楼层(共16层)1997年建塔楼  -  ,10人关注 / 共1次带看 / 1个月以前发布,
220万,单价23914元/平米,富丽家园福宁苑 3室2厅 220万,富丽家园福宁苑 , | 3室2厅 | 92平米 | 南 | 简装 | 无电梯,中楼层(共8层)1995年建塔楼  -  ,1人关注 / 共3次带看 / 1个月以前发布,
150万,单价25013元/平米,尚上名筑一区 中间楼层 南向一房一厅 精装修保养好,尚上名筑一区 , | 1室1厅 | 59.97平米 | 南 | 简装,低楼层(共29层)2017年建塔楼  -  ,14人关注 / 共3次带看 / 1个月以前发布,
230万,单价25275元/平米,祈福新村D区 3室2厅 230万,祈福新村D区 , | 3室2厅 | 91平米 | 北 | 其他 | 无电梯,低楼层(共4层)1995年建板楼  -  ,3人关注 / 共1次带看 / 27天以前发布,
288万,单价28236元/平米,祈福新村湖景居 3室1厅 288万,祈福新村湖景居 , | 3室1厅 | 102平米 | 南 | 其他 | 无电梯,中楼层(共4层)1995年建板楼  -  ,5人关注 / 共1次带看 / 27天以前发布,
205万,单价28874元/平米,海滨花园 2室1厅 205万,海滨花园 , | 2室1厅 | 71平米 | 东南 | 其他 | 无电梯,中楼层(共8层)1998年建塔楼  -  ,3人关注 / 共0次带看 / 27天以前发布,
310万,单价24966元/平米,东方白云花园 四房两厅 诚意放卖,东方白云花园 , | 4室2厅 | 124.17平米 | 北 | 精装 | 有电梯,中楼层(共17层)2002年建塔楼  -  ,3人关注 / 共0次带看 / 22天以前发布,
299万,单价36296元/平米,中环品悦2014年的新房，交通方便，小区环境好,中环品悦 , | 2室1厅 | 82.38平米 | 南 | 精装 | 有电梯,中楼层(共22层)2013年建塔楼  -  ,1人关注 / 共0次带看 / 20天以前发布,
300万,单价36045元/平米,大平台 装修保养好 采光好 小区环境,富丽居 , | 2室2厅 | 83.23平米 | 北 | 其他,低楼层(共35层)塔楼  -  ,0人关注 / 共0次带看 / 18天以前发布,
65万,单价12500元/平米,奥园养生广场 一房一厅 可自己装修,奥园养生广场 , | 1室2厅 | 52平米 | 东北 | 毛坯 | 有电梯,中楼层(共29层)2012年建塔楼  -  ,63人关注 / 共0次带看 / 11个月以前发布,
628万,单价37605元/平米,东湖洲花园 配套成熟 新装修  国庆期间可看房,东湖洲花园1区 , | 5室2厅 | 167平米 | 南 | 精装 | 有电梯,低楼层(共22层)2009年建塔楼  -  ,11人关注 / 共0次带看 / 5个月以前发布,
305万,单价26522元/平米,花样年华二期 双证三房出售,番禺海伦堡花样年华二期 , | 3室2厅 | 115平米 | 北 | 简装 | 有电梯,低楼层(共18层)2005年建塔楼  -  ,2人关注 / 共0次带看 / 6个月以前发布,
290万,单价25893元/平米,花样年华二期 双证物业业主诚售,番禺海伦堡花样年华二期 , | 3室2厅 | 112平米 | 北 | 精装 | 有电梯,中楼层(共17层)2005年建塔楼  -  ,30人关注 / 共0次带看 / 一年前发布,
290万,单价19728元/平米,康乐园 三房,康乐园 , | 3室2厅 | 147平米 | 南 | 其他 | 无电梯,高楼层(共7层)塔楼  -  ,10人关注 / 共0次带看 / 7个月以前发布,
1600万,单价62993元/平米,) 星河湾海怡半岛 高层望江 户型方正,星河湾半岛三号园 , | 4室2厅 | 254平米 | 南 北 | 精装,中楼层(共29层)塔楼  -  ,14人关注 / 共0次带看 / 11个月以前发布,
219万,单价19910元/平米,清河中路  实用大四房，格局方正,清河中路 , | 4室2厅 | 110平米 | 南 | 简装 | 无电梯,中楼层(共6层)板楼  -  ,6人关注 / 共0次带看 / 5个月以前发布,
512万,单价35522元/平米,华南新城   江山颐景    精装4房,华南新城江山颐景茗苑 , | 4室2厅 | 144.14平米 | 南 | 精装,中楼层(共23层)塔楼  -  ,11人关注 / 共0次带看 / 3个月以前发布,
1100万,单价75348元/平米,广州雅居乐花园别墅 南北对流 前后花园 诚意出售,广州雅居乐花园雅湖居 ,  | 独栋别墅 | 5室2厅 | 145.99平米 | 东南 | 毛坯 | 无电梯,1层2010年建暂无数据  -  ,5人关注 / 共1次带看 / 1个月以前发布,
395万,单价30998元/平米,大三房南北通透，精致装修 看房随时约,亚运城天荟 , | 3室2厅 | 127.43平米 | 南 北 | 精装 | 有电梯,中楼层(共52层)塔楼  -  ,18人关注 / 共6次带看 / 30天以前发布,
255万,单价26010元/平米,天誉中楼层，业主精装修 视野宽广,亚运城天誉 , | 2室2厅 | 98.04平米 | 西 | 精装,低楼层(共48层)塔楼  -  ,11人关注 / 共6次带看 / 23天以前发布,
260万,单价30589元/平米,祈福新村迎风阁 电梯楼 中间楼层 采光好,祈福新村迎风阁 , | 2室2厅 | 85平米 | 东南 | 其他 | 有电梯,中楼层(共26层)2005年建塔楼  -  ,0人关注 / 共4次带看 / 5个月以前发布,
248万,单价26840元/平米,翠怡居 满五年 户型方正 采光良好,祈福新村翠怡居 , | 3室2厅 | 92.4平米 | 北 | 精装 | 无电梯,高楼层(共5层)1995年建板楼  -  ,8人关注 / 共3次带看 / 5个月以前发布,
230万,单价24892元/平米,祈福新村E区 大三房,祈福新村E区 , | 3室2厅 | 92.4平米 | 北 | 精装 | 无电梯,中楼层(共4层)1995年建板楼  -  ,7人关注 / 共0次带看 / 4个月以前发布,
215万,单价23292元/平米,温馨三房 光线好 视野好,吉祥道 , | 3室2厅 | 92.31平米 | 南 | 精装 | 无电梯,高楼层(共7层)塔楼  -  ,12人关注 / 共1次带看 / 5个月以前发布,
143万,单价25217元/平米,尚上名筑 一房一厅,尚上名筑一区 , | 1室1厅 | 56.71平米 | 南 | 简装,低楼层(共29层)2017年建塔楼  -  ,69人关注 / 共1次带看 / 4个月以前发布,
255万,单价32747元/平米,中环品悦 精装两房 高楼层 采光好,中环品悦 , | 2室1厅 | 77.87平米 | 东南 | 精装 | 有电梯,高楼层(共22层)2013年建塔楼  -  ,22人关注 / 共0次带看 / 9个月以前发布,
175万,单价20000元/平米,侨宫苑 家私电器齐,侨宫苑 , | 2室2厅 | 87.5平米 | 南 | 其他 | 无电梯,中楼层(共8层)1996年建塔楼  -  ,0人关注 / 共0次带看 / 6个月以前发布,
176万,单价23637元/平米,番禺监狱宿舍 方正两房 交通便利 采光好,番禺监狱宿舍 , | 2室1厅 | 74.46平米 | 东北 | 简装,高楼层(共6层)板楼  -  ,3人关注 / 共1次带看 / 6个月以前发布,
205万,单价23977元/平米,来福苑 实用三房,来福苑 , | 3室2厅 | 85.5平米 | 南 | 其他 | 无电梯,中楼层(共7层)2000年建塔楼  -  ,4人关注 / 共1次带看 / 5个月以前发布,
125万,单价19291元/平米,东风街 两房出售 户型方正 中楼层 通风采光好,东涌路东风大街 , | 2室1厅 | 64.8平米 | 南 | 其他 | 无电梯,中楼层(共7层)塔楼  -  ,30人关注 / 共4次带看 / 5个月以前发布,
225万,单价23511元/平米,鑫润花园 北向 中楼层 温馨3房,鑫润花园 , | 3室2厅 | 95.7平米 | 北 | 其他 | 无电梯,中楼层(共7层)2002年建塔楼  -  ,16人关注 / 共1次带看 / 4个月以前发布,
138万,单价16667元/平米,环城西路 中楼层 生活便利,环城西路二大街 , | 2室2厅 | 82.8平米 | 南 北 | 简装 | 无电梯,中楼层(共6层)1990年建板楼  -  ,61人关注 / 共2次带看 / 4个月以前发布,
220万,单价31977元/平米,大石海滨花园 中间楼层 装修保养好,海滨花园 , | 2室2厅 | 68.8平米 | 西北 | 简装 | 无电梯,中楼层(共8层)1998年建塔楼  -  ,2人关注 / 共14次带看 / 4个月以前发布,
200万,单价17671元/平米,富丽家园桔芳园 3室2厅 200万,富丽家园桔芳园 , | 3室2厅 | 113.18平米 | 南 北 | 精装 | 无电梯,高楼层(共7层)1995年建塔楼  -  ,56人关注 / 共1次带看 / 5个月以前发布,
231万,单价28875元/平米,祈福新村蝶舞轩 精装大三房采光好 位置好,祈福新村蝶舞轩 , | 3室2厅 | 80平米 | 南 | 其他 | 无电梯,高楼层(共6层)2002年建塔楼  -  ,8人关注 / 共3次带看 / 4个月以前发布,
245万,单价27956元/平米,丽江花园 新装修三房 开放式厨房,丽江花园丽茹楼 , | 3室2厅 | 87.64平米 | 西南 | 精装 | 有电梯,中楼层(共9层)1993年建塔楼  -  ,49人关注 / 共0次带看 / 5个月以前发布,
198万,单价29553元/平米,祈福新村蝶舞轩 温馨两房,祈福新村蝶舞轩 , | 2室2厅 | 67平米 | 北 | 简装 | 无电梯,高楼层(共6层)2002年建板楼  -  ,6人关注 / 共3次带看 / 4个月以前发布,
210万,单价20938元/平米,锦绣花园南区3房出售 南北对流 采光好,锦绣花园南区 , | 3室2厅 | 100.3平米 | 北 | 其他 | 无电梯,高楼层(共7层)1997年建塔楼  -  ,3人关注 / 共0次带看 / 一年前发布,
210万,单价35000元/平米,海滨花园 2房2厅 210万元,海滨花园 , | 2室2厅 | 60平米 | 东 | 简装 | 有电梯,中楼层(共12层)1998年建塔楼  -  ,5人关注 / 共0次带看 / 5个月以前发布,
450万,单价34352元/平米,康裕北苑  楼层好  交通便利  配套设施齐全。,康裕北苑 , | 3室2厅 | 131平米 | 东南 | 其他 | 有电梯,低楼层(共12层)2005年建塔楼  -  ,6人关注 / 共2次带看 / 4个月以前发布,
260万,单价35813元/平米,广州奥林匹克花园 2室1厅 260万,广州奥林匹克花园 , | 2室1厅 | 72.6平米 | 南 | 其他 | 无电梯,中楼层(共6层)2002年建板楼  -  ,7人关注 / 共3次带看 / 4个月以前发布,
353万,单价40413元/平米,华府二期 高层 视野宽阔 单边位无遮挡 一手业主保养好,锦绣香江花园山水华府 , | 2室2厅 | 87.35平米 | 北 | 精装 | 有电梯,高楼层(共16层)2010年建塔楼  -  ,11人关注 / 共2次带看 / 4个月以前发布,
245万,单价24917元/平米,广地花园，精装三房 采光通风好,广地花园 , | 3室2厅 | 98.33平米 | 西 | 简装 | 无电梯,中楼层(共7层)2006年建塔楼  -  ,32人关注 / 共1次带看 / 4个月以前发布,
268万,单价25972元/平米,广地花园 二期方正三房  楼梯房,广地花园 , | 3室2厅 | 103.19平米 | 东北 | 简装 | 无电梯,中楼层(共7层)2006年建塔楼  -  ,40人关注 / 共0次带看 / 4个月以前发布,
240万,单价27335元/平米,祈福新村康怡南向三房出售 高楼层,祈福新村康怡居 , | 3室2厅 | 87.8平米 | 南 | 精装 | 无电梯,高楼层(共6层)2002年建板楼  -  ,10人关注 / 共1次带看 / 4个月以前发布,
230万,单价33824元/平米,广州碧桂园 东南两房 采光好 安静望花园,广州碧桂园华苑 , | 2室1厅 | 68平米 | 东南 | 其他 | 无电梯,中楼层(共7层)1998年建塔楼  -  ,12人关注 / 共1次带看 / 4个月以前发布,
285万,单价31457元/平米,富庭东园 南向望花园 有顶楼花园 采光通风好,富庭东园 , | 3室1厅 | 90.6平米 | 南 | 精装 | 无电梯,高楼层(共7层)2003年建塔楼  -  ,7人关注 / 共1次带看 / 4个月以前发布,
265万,单价23185元/平米,绿庭雅苑 步梯南向3房 望园景 位置安静,绿庭雅苑 , | 3室2厅 | 114.3平米 | 南 北 | 精装 | 无电梯,中楼层(共7层)2005年建塔楼  -  ,10人关注 / 共0次带看 / 4个月以前发布,
215.1万,单价30000元/平米,芳华花园洛湖居 2室2厅 215.1万,芳华花园洛湖居 , | 2室2厅 | 71.7平米 | 北 | 精装 | 无电梯,低楼层(共6层)1999年建塔楼  -  ,14人关注 / 共3次带看 / 4个月以前发布,
270万,单价31765元/平米,华南新城温馨2房，户型方正，采光通风好,华南新城 , | 2室2厅 | 85平米 | 南 | 简装 | 有电梯,低楼层(共11层)2011年建塔楼  -  ,26人关注 / 共1次带看 / 3个月以前发布,
213万,单价25282元/平米,尚上名筑 电梯实用两房  南向单位,尚上名筑二期 , | 2室2厅 | 84.25平米 | 南 | 简装,高楼层(共31层)塔楼  -  ,15人关注 / 共0次带看 / 3个月以前发布,
166.4万,单价32000元/平米,祈福新村倚湖湾 实用一房 环境幽雅 高楼层视野好,祈福新村倚湖湾 , | 1室1厅 | 52平米 | 南 | 精装 | 有电梯,高楼层(共33层)2006年建塔楼  -  ,24人关注 / 共0次带看 / 3个月以前发布,
310万,单价37350元/平米,南国奥林匹克花园悉尼区 电梯高层两房 看房方便,南国奥林匹克花园 , | 2室2厅 | 83平米 | 西北 | 简装 | 有电梯,高楼层(共17层)2006年建塔楼  -  ,2人关注 / 共1次带看 / 3个月以前发布,
250万,单价23149元/平米,东南向精装三房  南北对流  中间楼层,番禺奥林匹克花园 , | 3室2厅 | 108平米 | 东 南 | 其他 | 无电梯,中楼层(共6层)2002年建板楼  -  ,15人关注 / 共3次带看 / 3个月以前发布,
260万,单价31101元/平米,海龙湾 2室2厅 260万,海龙湾 , | 2室2厅 | 83.6平米 | 南 | 简装 | 有电梯,低楼层(共11层)2011年建塔楼  -  ,20人关注 / 共1次带看 / 3个月以前发布,
245万,单价27529元/平米,锦绣生态园乐满园 3室2厅 245万,锦绣生态园乐满园 , | 3室2厅 | 89平米 | 东南 | 其他 | 无电梯,高楼层(共6层)2003年建塔楼  -  ,8人关注 / 共0次带看 / 3个月以前发布,
185万,单价28031元/平米,祈福新村C区   温馨两房 近祈福湖 环境好,祈福新村C区 , | 2室2厅 | 66平米 | 南 | 简装 | 无电梯,低楼层(共3层)1995年建板楼  -  ,14人关注 / 共1次带看 / 3个月以前发布,
315万,单价32912元/平米,雅居乐城南源著 精装修三房出售,雅居乐城南源著 , | 3室2厅 | 95.71平米 | 北 | 精装 | 有电梯,中楼层(共11层)2013年建塔楼  -  ,10人关注 / 共1次带看 / 3个月以前发布,
196万,单价27606元/平米,生态园翠屏苑 南向两房 保养采光好 视野宽阔,锦绣生态园翠屏苑 , | 2室2厅 | 71平米 | 南 | 其他 | 无电梯,中楼层(共6层)2003年建塔楼  -  ,11人关注 / 共1次带看 / 3个月以前发布,
150万,单价19405元/平米,信景居 少有的两房放出  中间楼层,信景居 , | 2室2厅 | 77.3平米 | 东 | 简装,中楼层(共8层)1998年建塔楼  -  ,8人关注 / 共1次带看 / 3个月以前发布,
202万,单价21064元/平米,裕林苑 3室2厅 202万,裕林苑 , | 3室2厅 | 95.9平米 | 南 | 其他,中楼层(共8层)1996年建塔楼  -  ,25人关注 / 共2次带看 / 3个月以前发布,
218万,单价27021元/平米,德兴园 2室2厅 218万,德兴园 , | 2室2厅 | 80.68平米 | 南 | 其他 | 无电梯,中楼层(共7层)1998年建塔楼  -  ,13人关注 / 共3次带看 / 3个月以前发布,
280万,单价29474元/平米,实用大三房有主套，新净电梯中层层 装修靓 保养比较好,如意中心 , | 3室1厅 | 95平米 | 东南 | 简装 | 有电梯,中楼层(共16层)1996年建塔楼  -  ,16人关注 / 共1次带看 / 3个月以前发布,
198万,单价25134元/平米,锦绣生态园   倚翠苑  中层2房出售,锦绣生态园倚翠苑 , | 2室2厅 | 78.78平米 | 东南 南 | 其他 | 无电梯,高楼层(共6层)2004年建塔楼  -  ,7人关注 / 共1次带看 / 3个月以前发布,
200万,单价25817元/平米,尚上名筑 刚需两房 厅出阳台 望花园,尚上名筑一区 , | 2室2厅 | 77.47平米 | 东北 | 简装,中楼层(共29层)2017年建塔楼  -  ,31人关注 / 共0次带看 / 3个月以前发布,
340万,单价38858元/平米,南国奥林匹克花园洛杉矶 一楼带花园 近出入口,南国奥林匹克花园 , | 2室2厅 | 87.5平米 | 西 | 简装 | 无电梯,低楼层(共4层)2006年建板楼  -  ,8人关注 / 共1次带看 / 3个月以前发布,
184万,单价33700元/平米,高层景观，视野开阔， 格局方正,广州雅居乐花园十年小雅 , | 1室1厅 | 54.6平米 | 北 | 精装 | 有电梯,高楼层(共32层)2010年建塔楼  -  ,60人关注 / 共2次带看 / 3个月以前发布,
450万,单价48972元/平米,星河湾半岛一号园 2室2厅 450万,星河湾半岛一号园 , | 2室2厅 | 91.89平米 | 南 | 精装 | 有电梯,中楼层(共22层)2009年建塔楼  -  ,23人关注 / 共2次带看 / 3个月以前发布,
528万,单价43103元/平米,星河湾 怡心园 南北对流望泳池大三房,广州星河湾怡心园 , | 3室2厅 | 122.5平米 | 南 北 | 精装 | 有电梯,低楼层(共9层)2001年建塔楼  -  ,10人关注 / 共0次带看 / 3个月以前发布,
195万,单价25931元/平米,富丽广场 温馨两房 楼梯低层 户型方正,富丽家园富丽广场 , | 2室1厅 | 75.2平米 | 南 | 其他 | 无电梯,中楼层(共6层)1995年建塔楼  -  ,7人关注 / 共3次带看 / 3个月以前发布,
232万,单价29157元/平米,花样年华一期 精装修2房 随时入住,番禺海伦堡花样年华一期 , | 2室2厅 | 79.57平米 | 东 | 精装 | 有电梯,低楼层(共19层)2005年建塔楼  -  ,12人关注 / 共0次带看 / 3个月以前发布,
355万,单价31925元/平米,东怡新区 东景园 楼梯房 交通便利,东怡新区东景园 , | 3室2厅 | 111.2平米 | 东 | 精装 | 有电梯,高楼层(共9层)2000年建塔楼  -  ,1人关注 / 共0次带看 / 3个月以前发布,
215万,单价24253元/平米,电梯中间楼层 南向两居 房子大方方正,庄士映蝶蓝湾二期 , | 2室2厅 | 88.65平米 | 南 | 简装 | 有电梯,低楼层(共18层)塔楼  -  ,5人关注 / 共0次带看 / 3个月以前发布,
163万,单价29637元/平米,祈福新村翠怡居 户型方正 采光良好,祈福新村翠怡居 , | 2室2厅 | 55平米 | 东南 南 | 其他 | 无电梯,高楼层(共5层)1995年建板楼  -  ,18人关注 / 共2次带看 / 3个月以前发布,
330万,单价29486元/平米,裕福花园 3室2厅 330万,裕福花园 , | 3室2厅 | 111.92平米 | 南 | 其他 | 有电梯,高楼层(共13层)2003年建塔楼  -  ,5人关注 / 共2次带看 / 3个月以前发布,
170万,单价18806元/平米,荷景花园二区 3室2厅 170万,荷景花园二区 , | 3室2厅 | 90.4平米 | 南 北 | 其他 | 无电梯,高楼层(共6层)1995年建板楼  -  ,1人关注 / 共1次带看 / 3个月以前发布,
225万,单价33040元/平米,广州碧桂园秀苑 2室1厅 225万,广州碧桂园秀苑 , | 2室1厅 | 68.1平米 | 东北 | 其他 | 无电梯,中楼层(共7层)1998年建塔楼  -  ,7人关注 / 共3次带看 / 3个月以前发布,
312万,单价21447元/平米,东怡新区东雅园 3室2厅 312万,东怡新区东雅园 , | 3室2厅 | 145.48平米 | 南 北 | 简装 | 无电梯,高楼层(共6层)2000年建板楼  -  ,2人关注 / 共0次带看 / 3个月以前发布,
455万,单价36614元/平米,尚东尚筑精装大三房，南向过5年,尚东尚筑 , | 3室2厅 | 124.27平米 | 南 | 精装 | 有电梯,低楼层(共18层)2008年建塔楼  -  ,3人关注 / 共1次带看 / 3个月以前发布,
315万,单价39375元/平米,一尺山居温馨两房 视野开阔 可望小蛮腰 保养好,广州雅居乐花园一尺山居 , | 2室2厅 | 80平米 | 东北 | 精装 | 有电梯,高楼层(共23层)2010年建塔楼  -  ,7人关注 / 共1次带看 / 3个月以前发布,
270万,单价27905元/平米,国庆全天可看 运动员村 电梯房 南北对流户型,亚运城运动员村一区 , | 2室2厅 | 96.76平米 | 南 北 | 简装 | 有电梯,低楼层(共11层)塔楼  -  ,1人关注 / 共1次带看 / 3个月以前发布,
215万,单价23956元/平米,西城花园 稀有电梯高层 三房出售,西城花园 , | 3室2厅 | 89.75平米 | 北 | 简装 | 无电梯,高楼层(共11层)1998年建塔楼  -  ,7人关注 / 共1次带看 / 3个月以前发布,
460万,单价36540元/平米,锦绣银湾 单证精装大三房 电梯中层,锦绣银湾 , | 3室2厅 | 125.89平米 | 南 | 精装 | 有电梯,中楼层(共28层)2007年建塔楼  -  ,5人关注 / 共3次带看 / 3个月以前发布,
290万,单价25328元/平米,桥福园小区 电梯高层 格局方正实用 设计合理,桥福园 , | 3室2厅 | 114.5平米 | 北 | 其他 | 有电梯,高楼层(共10层)2000年建塔楼  -  ,8人关注 / 共1次带看 / 3个月以前发布,
221万,单价23960元/平米,绿庭雅苑南向四房 过二免重税 装修保养好,绿庭雅苑 , | 4室2厅 | 92.24平米 | 南 | 简装 | 无电梯,高楼层(共7层)2005年建塔楼  -  ,10人关注 / 共1次带看 / 3个月以前发布,
400万,单价39025元/平米,广州碧桂园美苑 3室2厅 400万,广州碧桂园美苑 , | 3室2厅 | 102.5平米 | 东北 | 简装 | 无电梯,低楼层(共7层)1998年建塔楼  -  ,4人关注 / 共1次带看 / 3个月以前发布,
215万,单价25935元/平米,丽景阁 配套完善  可直接营业 住宅性质,丽景阁 , | 2室1厅 | 82.9平米 | 南 | 简装 | 有电梯,中楼层(共11层)2000年建塔楼  -  ,18人关注 / 共6次带看 / 3个月以前发布,
470万,单价38212元/平米,星河湾一期 厅东南向大三房 前后无遮挡 采光好,广州星河湾朗心园 , | 3室2厅 | 123平米 | 东南 西北 | 精装 | 有电梯,低楼层(共9层)2001年建塔楼  -  ,5人关注 / 共1次带看 / 3个月以前发布,
360万,单价29926元/平米,丽江花园康城居 4室2厅 360万,丽江花园康城居 , | 4室2厅 | 120.3平米 | 东北 | 简装 | 有电梯,低楼层(共9层)1999年建塔楼  -  ,7人关注 / 共1次带看 / 3个月以前发布,
135万,单价24748元/平米,敏捷时空壹号 2室2厅 135万,敏捷时空壹号 , | 2室2厅 | 54.55平米 | 西南 | 其他,高楼层(共17层)塔楼  -  ,28人关注 / 共4次带看 / 3个月以前发布,
189万,单价17864元/平米,荷景花园一区 3室2厅 189万,荷景花园一区 , | 3室2厅 | 105.8平米 | 东南 南 | 其他 | 无电梯,低楼层(共7层)1995年建塔楼  -  ,4人关注 / 共2次带看 / 3个月以前发布,
140万,单价20379元/平米,西城花园 普通装修 南向大两房,西城花园 , | 2室1厅 | 68.7平米 | 南 | 其他 | 无电梯,中楼层(共8层)1998年建塔楼  -  ,45人关注 / 共0次带看 / 2个月以前发布,
318万,单价35150元/平米,珠江花园 2室2厅 318万,珠江花园 , | 2室2厅 | 90.47平米 | 南 | 其他 | 有电梯,低楼层(共28层)2010年建塔楼  -  ,12人关注 / 共1次带看 / 2个月以前发布,
145万,单价18590元/平米,西城花园 2室2厅 145万,西城花园 , | 2室2厅 | 78平米 | 南 | 其他 | 无电梯,高楼层(共8层)1998年建塔楼  -  ,48人关注 / 共0次带看 / 2个月以前发布,
369万,单价37960元/平米,广州雅居乐花园一尺山居 3室2厅 369万,广州雅居乐花园一尺山居 , | 3室2厅 | 97.21平米 | 东北 | 精装 | 有电梯,中楼层(共23层)2010年建塔楼  -  ,3人关注 / 共3次带看 / 2个月以前发布,
330万,单价32067元/平米,祈福新村康怡居 3室2厅 330万,祈福新村康怡居 , | 3室2厅 | 102.91平米 | 东 | 精装 | 无电梯,中楼层(共6层)2002年建板楼  -  ,1人关注 / 共2次带看 / 2个月以前发布,
143万,单价23954元/平米,华侨城(番禺) 2室2厅 143万,华侨城(番禺) , | 2室2厅 | 59.7平米 | 北 | 其他 | 无电梯,中楼层(共8层)1994年建塔楼  -  ,15人关注 / 共0次带看 / 2个月以前发布,
260万,单价27456元/平米,昊龙花园北区 步梯3楼 东向望园景 装修保养好,昊龙花园北区 , | 3室2厅 | 94.7平米 | 东北 | 精装 | 无电梯,中楼层(共5层)2007年建塔楼  -  ,10人关注 / 共3次带看 / 2个月以前发布,
325万,单价32252元/平米,海伦堡御院，电梯大三房，户型实用方正,番禺海伦堡御院 , | 3室2厅 | 100.77平米 | 南 | 简装 | 有电梯,低楼层(共12层)2005年建塔楼  -  ,9人关注 / 共2次带看 / 2个月以前发布,
280万,单价31497元/平米,楼层朝向都很好，精装修，小区环境优美。,海龙湾 , | 2室2厅 | 88.9平米 | 东南 | 精装 | 有电梯,高楼层(共12层)2004年建塔楼  -  ,4人关注 / 共1次带看 / 2个月以前发布,
290万,单价29550元/平米,雅居乐锦官城 电梯高层三房 户型方正 景观视野好,雅居乐锦官城雍容南台 , | 3室2厅 | 98.14平米 | 东北 | 毛坯 | 有电梯,高楼层(共18层)2011年建塔楼  -  ,1人关注 / 共1次带看 / 2个月以前发布,
235万,单价26705元/平米,丽江花园丽波楼 3室2厅 235万,丽江花园丽波楼 , | 3室2厅 | 88平米 | 东南 东北 | 其他 | 有电梯,高楼层(共9层)1993年建塔楼  -  ,16人关注 / 共2次带看 / 2个月以前发布,
132万,单价21360元/平米,荷景花园，刚需两房，小区中间位置,荷景花园一区 , | 2室2厅 | 61.8平米 | 西南 | 精装 | 无电梯,中楼层(共7层)1995年建塔楼  -  ,42人关注 / 共1次带看 / 2个月以前发布,
300万,单价30218元/平米,电梯精装大三房 视野开阔 采光好 交通便利,今日丽舍 , | 3室1厅 | 99.28平米 | 东 南 | 简装 | 有电梯,中楼层(共23层)2004年建塔楼  -  ,10人关注 / 共0次带看 / 2个月以前发布,
323万,单价35440元/平米,祈福新村蝶舞轩 一楼带花园 保养新净 位置安静,祈福新村蝶舞轩 , | 3室2厅 | 91.14平米 | 北 | 精装 | 无电梯,低楼层(共6层)2002年建塔楼  -  ,3人关注 / 共1次带看 / 2个月以前发布,
120万,单价19324元/平米,傍江而建 户型方正 卧室朝南 总价不高,富丽家园侨苑 , | 2室1厅 | 62.1平米 | 南 | 其他 | 无电梯,高楼层(共6层)1995年建塔楼  -  ,46人关注 / 共1次带看 / 2个月以前发布,
330万,单价32039元/平米,祈福新村康怡居 3室2厅 330万,祈福新村康怡居 , | 3室2厅 | 103平米 | 东南 | 其他 | 无电梯,中楼层(共6层)2002年建板楼  -  ,1人关注 / 共1次带看 / 2个月以前发布,
